Flight Information:
Launch Date:            	          	                       	Tuesday, 26 October 2021	   	                   	Launch Time: 	         	        	11:24:15    	          	          	End of Ascent:	       	         	01:23:28
Station name:           	          	                       	IIT MADRAS              	   	                   	Serialnumber:	         	        	18000131
Ground Values:
Pressure:               	          	                       	1003.7 hPa              	   	                   	Temperature: 	         	        	8.2 °C      	          	          	Humidity:     	       	         	73 %
Wind direction:         	          	                       	0 °                     	   	                   	Wind speed:  	         	        	0 kn        	          	          	Cloud group:  	       	         	9////
Position:
Longitude:              	          	                       	74.838 °                	   	                   	Latitude:    	         	        	9.422 °     	          	          	Altitude:     	       	         	34 m
Staff:
Company:                	          	                       	
Operator:               	          	                       	                        	   	                   	
Events:
Highest Point:          	          	                       	17.4 hPa                	   	                   	27373 m
Tropopauses:            	          	                       	1.: 107.6 hPa           	   	                   	             	         	        	
Max Winds:              	          	                       	1.: 17.3 hPa            	   	                   	             	         	        	
Remarks:

Profile Data:
Time                    	UTC Time  	P                      	T                       	Hu 	Ws                 	Wd           	Long.    	Lat.    	Geopot      	MRI       	RI        	Dewp.         	Rs     	Elevation	Azimuth 	Range	D
[sec]                   	[HH:mm:ss]	[hPa]                  	[°C]                    	[%]	[kn]               	[°]          	[°]      	[°]     	[m]         	          	          	[°C]          	[m/min]	[°]      	[°]     	[m]  	[kg/m3]
0                       	11:24:15  	1003.7                 	8.2                     	73 	0.0                	360          	74.838390	9.421820	34          	285.606   	280.268   	3.7           	0.0    	9.4      	000     	0    	1.242987
2                       	11:24:17  	1001.3                 	9.0                     	75 	8.3                	006          	74.845358	9.403259	28          	283.223   	278.906   	4.9           	-194.5 	-0.2     	160     	2191 	1.236479
4                       	11:24:19  	998.9                  	9.8                     	77 	8.3                	006          	74.852326	9.384699	40          	283.846   	277.535   	5.9           	381.8  	0.1      	160     	4382 	1.230105
6                       	11:24:21  	997.8                  	10.6                    	78 	8.2                	004          	74.859294	9.366138	55          	285.151   	276.469   	6.8           	451.6  	0.2      	160     	6573 	1.225246
8                       	11:24:23  	996.7                  	11.4                    	78 	7.6                	323          	74.866262	9.347578	70          	286.444   	275.407   	7.8           	451.6  	0.2      	160     	8764 	1.220409
10                      	11:24:25  	995.5                  	12.2                    	79 	7.6                	323          	74.873230	9.329017	85          	287.748   	274.340   	8.7           	451.6  	0.2      	160     	10955	1.215535
12                      	11:24:27  	994.3                  	13.0                    	80 	7.6                	323          	74.880198	9.310457	100         	289.055   	273.277   	9.6           	451.6  	0.2      	160     	13146	1.210689
14                      	11:24:29  	993.1                  	13.8                    	81 	7.6                	323          	74.887166	9.291896	115         	290.235   	272.212   	10.6          	431.6  	0.2      	160     	15337	1.205843
16                      	11:24:31  	991.8                  	14.6                    	81 	7.6                	323          	74.888113	9.289408	129         	291.360   	271.138   	11.5          	419.7  	0.3      	160     	15631	1.200958
18                      	11:24:33  	990.6                  	15.4                    	82 	7.6                	323          	74.888158	9.289327	143         	292.491   	270.072   	12.4          	419.7  	0.3      	160     	15641	1.196100
20                      	11:24:35  	989.3                  	16.2                    	83 	8.6                	324          	74.888203	9.289246	155         	293.430   	269.017   	13.3          	380.1  	0.4      	160     	15651	1.191297
22                      	11:24:37  	988.1                  	17.0                    	84 	9.2                	324          	74.888248	9.289165	167         	294.255   	267.974   	14.3          	357.7  	0.4      	160     	15662	1.186551
24                      	11:24:39  	986.9                  	17.8                    	85 	9.4                	324          	74.888293	9.289084	179         	295.086   	266.936   	15.2          	357.7  	0.5      	160     	15672	1.181831
26                      	11:24:41  	985.7                  	18.6                    	85 	9.7                	324          	74.888337	9.289003	190         	295.771   	265.910   	16.1          	326.1  	0.5      	160     	15682	1.177164
