Flight Information:
Launch Date:            	          	                       	Wednesday, 27 October 2021	   	                   	Launch Time: 	         	        	11:32:04     	          	          	End of Ascent:	       	         	01:42:40
Station name:           	          	                       	IIT MADRAS                	   	                   	Serialnumber:	         	        	18000120
Ground Values:
Pressure:               	          	                       	1004.5 hPa                	   	                   	Temperature: 	         	        	29.0 °C      	          	          	Humidity:     	       	         	72 %
Wind direction:         	          	                       	310 °                     	   	                   	Wind speed:  	         	        	6 kn         	          	          	Cloud group:  	       	         	9////
Position:
Longitude:              	          	                       	74.641 °                  	   	                   	Latitude:    	         	        	9.702 °      	          	          	Altitude:     	       	         	34 m
Staff:
Company:                	          	                       	
Operator:               	          	                       	                          	   	                   	
Events:
Highest Point:          	          	                       	19.6 hPa                  	   	                   	25867 m
Tropopauses:            	          	                       	1.: 112.2 hPa             	   	                   	             	         	        	
Max Winds:              	          	                       	1.: 22.6 hPa              	   	                   	             	         	        	
Remarks:

Profile Data:
Time                    	UTC Time  	P                      	T                         	Hu 	Ws                 	Wd           	Long.    	Lat.    	Geopot       	MRI       	RI        	Dewp.         	Rs     	Elevation	Azimuth 	Range	D
[sec]                   	[HH:mm:ss]	[hPa]                  	[°C]                      	[%]	[kn]               	[°]          	[°]      	[°]     	[m]          	          	          	[°C]          	[m/min]	[°]      	[°]     	[m]  	[kg/m3]
0                       	11:32:04  	1007.7                 	29.0                      	72 	6.0                	310          	74.641310	9.701570	34           	267.086   	261.748   	23.4          	0.0    	9.7      	000     	0    	1.162067
2                       	11:32:06  	1004.1                 	28.4                      	74 	6.9                	271          	74.634275	9.703400	34           	266.840   	261.439   	23.4          	13.2   	0.0      	285     	798  	1.160217
4                       	11:32:08  	1002.6                 	28.0                      	75 	6.9                	271          	74.627241	9.705230	46           	268.589   	261.382   	23.1          	343.8  	0.4      	285     	1596 	1.159847
6                       	11:32:10  	1001.4                 	27.7                      	75 	6.9                	268          	74.620206	9.707060	57           	270.354   	261.342   	22.8          	343.8  	0.5      	285     	2394 	1.159653
8                       	11:32:12  	1000.2                 	27.6                      	75 	8.5                	228          	74.613172	9.708890	69           	271.907   	261.137   	22.7          	338.7  	0.6      	285     	3192 	1.158683
10                      	11:32:14  	999.2                  	27.6                      	75 	8.5                	228          	74.606137	9.710720	79           	273.386   	260.936   	22.7          	318.1  	0.6      	285     	3991 	1.157750
12                      	11:32:16  	998.3                  	27.5                      	75 	8.5                	228          	74.599103	9.712550	90           	274.853   	260.738   	22.7          	318.1  	0.6      	285     	4789 	1.156820
14                      	11:32:18  	997.2                  	27.4                      	75 	8.5                	228          	74.592068	9.714380	100          	276.324   	260.561   	22.7          	316.3  	0.7      	285     	5587 	1.155961
16                      	11:32:20  	996.2                  	27.3                      	76 	8.5                	228          	74.591685	9.714543	110          	277.752   	260.388   	22.7          	307.5  	0.8      	285     	5632 	1.155106
18                      	11:32:22  	995.1                  	27.2                      	76 	8.3                	227          	74.591743	9.714595	121          	279.214   	260.233   	22.7          	307.5  	0.9      	285     	5628 	1.154333
20                      	11:32:24  	993.9                  	27.1                      	77 	8.1                	226          	74.591801	9.714647	131          	280.705   	260.044   	22.6          	320.4  	1.0      	285     	5623 	1.153405
22                      	11:32:26  	992.6                  	27.0                      	77 	8.1                	225          	74.591859	9.714699	142          	282.235   	259.816   	22.6          	335.4  	1.1      	285     	5619 	1.152295
24                      	11:32:28  	991.2                  	26.9                      	77 	8.0                	225          	74.591917	9.714751	154          	283.739   	259.577   	22.6          	335.4  	1.2      	285     	5614 	1.151138
