Wind speed,Wind angle,Acoustic temperature windsensor,Temperature validity,Temperature_aht10,Relative humidity_aht10,Temperature_ms5611,Pressure_ms5611,Absolute_altitude_ms5611,timestamp_pix_attitude,Roll,Pitch,Yaw,Roll speed,Pitch speed,Yaw speed,timestamp_pix_loc_pos,x,y,z,vx,vy,vz,timestamp_pix_gps,pix_lat,pix_lon,pix_alt,pix_gps_vx,pix_gps_vy,pix_gps_vz,latitude,longitude,altitude_gps,relative_altitude_gps
0,0,0,,27.6449,96.808,27.62,99693,136.7662,62178,-0.0257,-0.0407,-3.114,0.0061,0.0274,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27.6834,96.8349,27.64,99692,136.8506,62674,-0.0257,-0.0427,-3.1143,-0.0038,0.0176,-0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27.7065,96.8236,27.64,99685,137.4411,62674,-0.0257,-0.0427,-3.1143,-0.0038,0.0176,-0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,,27.7061,96.8205,27.64,99693,136.7662,62861,-0.0258,-0.0416,-3.1146,-0.005,0.0162,-0.0059,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.4,351,32.1,A,27.7239,96.8301,27.65,99692,136.8506,63047,-0.0259,-0.0421,-3.1159,-0.0059,0.0259,-0.001,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.4,351,32.1,A,27.7435,96.8545,27.65,99693,136.7662,63171,-0.0259,-0.0422,-3.1158,-0.0034,-0.0085,0.0006,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.2,3,32.1,A,27.7452,96.8388,27.65,99692,136.8506,63294,-0.0259,-0.0422,-3.1163,-0.0033,-0.0236,-0.0014,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.2,3,32.1,A,27.7582,96.8525,27.66,99694,136.6819,63419,-0.0258,-0.0415,-3.1164,0.0001,0.0228,-0.0017,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.3,352,32.1,A,27.762,96.8586,27.66,99688,137.188,63544,-0.0258,-0.0421,-3.1163,0.0003,0.002,-0.0033,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.3,352,32.1,A,27.7719,96.8481,27.66,99695,136.5975,63666,-0.0258,-0.0425,-3.1163,0.001,-0.0185,0.0029,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.2,4,0,A,27.7716,96.851,27.66,99695,136.5975,63666,-0.0258,-0.0425,-3.1163,0.001,-0.0185,0.0029,62806,-0.916,0.158,-0.1656,0.0016,-0.0214,0.0026,0,0,0,0,0,0,0,0,0,0,0
0.2,4,0,A,27.7514,96.8464,27.65,99693,136.7662,63854,-0.026,-0.042,-3.1158,0.0037,-0.0181,0.0016,63806,-0.9214,0.1381,-0.1683,-0.0043,-0.0104,0.0037,63806,130713407,796876369,81740,0,-1,0,0,0,0,168
0.3,2,0,A,27.7565,96.8391,27.65,99692,136.8506,64039,-0.0262,-0.0426,-3.1161,0.0031,-0.0079,0.0035,63806,-0.9214,0.1381,-0.1683,-0.0043,-0.0104,0.0037,63806,130713407,796876369,81740,0,-1,0,0,0,0,168
0.3,2,0,A,27.7657,96.852,27.66,99693,136.7662,64164,-0.0262,-0.0414,-3.116,0.0055,-0.0064,0.0016,63806,-0.9214,0.1381,-0.1683,-0.0043,-0.0104,0.0037,63806,130713407,796876369,81740,0,-1,0,0,0,0,168
0.2,349,32.1,A,27.7678,96.8411,27.66,99692,136.8506,64286,-0.0264,-0.0419,-3.116,0.0013,0.0126,-0.0031,63806,-0.9214,0.1381,-0.1683,-0.0043,-0.0104,0.0037,63806,130713407,796876369,81740,0,-1,0,0,0,0,168
